ID,Target
ID_AAcismbB,0.2473012909545238
ID_AAeBMsji,0.16761402395953642
ID_AAjFMjzy,0.6879136614327088
ID_AAmMOEEC,0.23959426955738505
ID_ABguzDxp,0.3078099041013822
ID_ABomWihE,0.2795883765437283
ID_ACDBDjVC,0.24561334245726102
ID_AEnEBaEk,0.3778644926719966
ID_AFDiXCWE,0.17638952404002062
ID_AFFdlZrY,0.06581278398801943
ID_AFFhrAEa,0.528625743995386
ID_AFTYARrX,0.3092217989169452
ID_AFxizGWn,0.25816427516926044
ID_AGXURqVa,0.2739036362488283
ID_AGcfrBss,0.15349067608137937
ID_AGhyJnjs,0.2632748588614313
ID_AHHszlce,0.22921058817219692
ID_AHfEgdxI,0.5485657606285714
ID_AHxMZjLk,0.20906555096812973
ID_AIRMTzvW,0.186976453515894
ID_AIhXjNzB,0.17577352727298712
ID_AInNJcPZ,0.7281387554929168
ID_AJeUKOax,0.28374304338167783
ID_AJtmZTPv,0.16645921408703387
ID_AJvMJUgh,0.2812651447590041
ID_AKDNaIeF,0.3953396168226474
ID_AKtFUCOh,0.15630850270295807
ID_ALMWkcWZ,0.15403067665596273
ID_ALsuDzjy,0.36363357893303844
ID_AMDeLpAe,0.3046019423127012
ID_AMFLUESH,0.2197641385046578
ID_AMPzBaLI,0.5543292752482029
ID_AMQunDcB,0.5133020597335747
ID_AMoeaBNL,0.5208726197980311
ID_AMqLADVZ,0.19763401269531575
ID_ANjdaLZT,0.6386390822817054
ID_ANmZqeaJ,0.2474302827906184
ID_AOSShqiH,0.622859853445189
ID_AOtbKdTz,0.18545954640228426
ID_APPZTAvk,0.6216592047718329
ID_APXZieOd,0.3745014912953575
ID_APYmHMeT,0.17362836219312605
ID_APqxpzOM,0.48100911119305645
ID_AQXRdQFe,0.1932363394741374
ID_AQahPNSl,0.228295484462541
ID_ASJBnAcz,0.26542225662069113
ID_ASScpzpo,0.15984557568711766
ID_ASYEmqFR,0.7168375768588265
ID_ASYmdsAQ,0.2899663222998619
ID_ASizsGwc,0.23507087231828905
